"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 04 14:52:38 CEST 2026","Fri Sep 04 14:53:28 CEST 2026","49959","Drest Test Suite","Tests Drest.tn","Tests.LoginTest","Tests.LoginTest","testConnexionIdentifiantsValides","testConnexionIdentifiantsValides","Vérifie qu'un utilisateur peut se connecter avec succès"
"passed","Fri Sep 04 14:50:23 CEST 2026","Fri Sep 04 14:51:16 CEST 2026","52533","Drest Test Suite","Tests Drest.tn","Tests.LoginTest","Tests.LoginTest","testConnexionEmailVide","testConnexionEmailVide","KO - Vérifie qu'une erreur s'affiche quand l'email est vide"
"passed","Fri Sep 04 14:40:54 CEST 2026","Fri Sep 04 14:40:56 CEST 2026","1601","Drest Test Suite","Tests Drest.tn","Tests.NavigationTest","Tests.NavigationTest","testNavigationFemme","testNavigationFemme","Vérifie que le clic sur le menu Femme redirige vers la page femme"
"passed","Fri Sep 04 14:51:24 CEST 2026","Fri Sep 04 14:52:30 CEST 2026","65274","Drest Test Suite","Tests Drest.tn","Tests.LoginTest","Tests.LoginTest","testConnexionIdentifiantsInvalides","testConnexionIdentifiantsInvalides","KO - Vérifie qu'un message d'erreur s'affiche avec de mauvais identifiants"
"passed","Fri Sep 04 14:44:05 CEST 2026","Fri Sep 04 14:44:06 CEST 2026","814","Drest Test Suite","Tests Drest.tn","Tests.ProductTest","Tests.ProductTest","testPageCategorieCharge","testPageCategorieCharge","Vérifie que la page catégorie vêtements femme se charge correctement"
"passed","Fri Sep 04 14:53:36 CEST 2026","Fri Sep 04 14:54:55 CEST 2026","78829","Drest Test Suite","Tests Drest.tn","Tests.LoginTest","Tests.LoginTest","testConnexionMotDePasseVide","testConnexionMotDePasseVide","KO - Vérifie qu'une erreur s'affiche quand le mot de passe est vide"
"passed","Fri Sep 04 14:41:18 CEST 2026","Fri Sep 04 14:41:20 CEST 2026","1446","Drest Test Suite","Tests Drest.tn","Tests.NavigationTest","Tests.NavigationTest","testNavigationHomme","testNavigationHomme","Vérifie que le clic sur le menu Homme redirige vers la page homme"
"passed","Fri Sep 04 14:41:46 CEST 2026","Fri Sep 04 14:42:19 CEST 2026","33383","Drest Test Suite","Tests Drest.tn","Tests.SearchTest","Tests.SearchTest","testRechercheValide","testRechercheValide","Vérifie qu'une recherche avec le mot 'adidas' retourne des résultats et redirige correctement"
"passed","Fri Sep 04 14:44:42 CEST 2026","Fri Sep 04 14:44:43 CEST 2026","881","Drest Test Suite","Tests Drest.tn","Tests.ProductTest","Tests.ProductTest","testProduitsPresents","testProduitsPresents","Vérifie que les produits sont visibles dans la page catégorie"
"passed","Fri Sep 04 14:44:14 CEST 2026","Fri Sep 04 14:44:34 CEST 2026","19422","Drest Test Suite","Tests Drest.tn","Tests.ProductTest","Tests.ProductTest","testPrixProduitPresent","testPrixProduitPresent","Vérifie que le prix du produit est visible et non vide sur la page détail"
"passed","Fri Sep 04 14:40:35 CEST 2026","Fri Sep 04 14:40:36 CEST 2026","1567","Drest Test Suite","Tests Drest.tn","Tests.NavigationTest","Tests.NavigationTest","testNavigationBeaute","testNavigationBeaute","Vérifie que le clic sur le menu Beauté redirige vers la page beauté"
"passed","Fri Sep 04 14:40:45 CEST 2026","Fri Sep 04 14:40:46 CEST 2026","1409","Drest Test Suite","Tests Drest.tn","Tests.NavigationTest","Tests.NavigationTest","testNavigationEnfants","testNavigationEnfants","Vérifie que le clic sur le menu Enfants redirige vers la page enfants"
